 ,Area,Major,Minor,Angle
423,405.215,23.263,22.179,127.557
424,173.978,15.143,14.628,14.710
425,367.777,23.485,19.939,153.635
426,464.676,25.024,23.643,71.305
427,416.226,24.383,21.735,12.585
428,262.068,18.583,17.956,4.550
429,621.036,30.086,26.282,126.510
430,251.057,19.574,16.330,159.424
431,394.204,24.238,20.708,172.229
432,284.091,21.374,16.923,130.631
433,433.844,27.838,19.843,51.241
434,334.743,22.951,18.570,89.693
435,240.046,17.651,17.315,153.441
436,629.845,32.005,25.057,52.072
437,325.934,22.305,18.605,146.038
438,295.102,20.219,18.583,110.201
439,347.956,22.533,19.661,96.263
440,576.991,28.615,25.673,73.701
441,689.306,30.377,28.892,69.361
442,314.923,20.426,19.630,110.659
443,211.417,17.445,15.431,127.554
444,660.677,41.662,20.191,30.574
445,403.013,26.542,19.333,52.834
446,709.126,32.607,27.690,29.096
447,530.744,27.458,24.611,73.035
448,513.126,29.985,21.789,122.891
449,636.452,32.278,25.105,74.693
450,550.564,27.515,25.477,87.140
451,409.620,23.757,21.953,92.719
452,169.574,16.541,13.053,133.747
453,585.800,31.783,23.467,85.546
454,502.114,26.744,23.905,147.921
455,281.889,20.866,17.201,173.571
456,330.338,21.442,19.615,74.187
457,290.698,20.594,17.973,49.974
458,436.047,24.309,22.839,33.073
459,543.957,37.318,18.559,36.051
460,458.069,26.277,22.195,147.516
461,143.147,13.963,13.053,127.995
462,583.598,28.404,26.160,77.402
463,317.125,20.331,19.860,129.663
464,341.350,22.394,19.407,132.613
465,286.293,22.315,16.335,75.845
466,343.552,21.929,19.948,110.740
467,339.147,21.814,19.795,158.587
468,169.574,15.033,14.362,155.182
